fid,new_commun,old_commun,mean_runoff,date
13,MAROTOKO,MAROTOKO,0.20050194619400888,2001-01
1,RANOMAFANA,RANOMAFANA,0.2125427353571592,2001-01
10,TSARATANANA,TSARATANANA,0.3485569288462601,2001-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.12708958916791943,2001-02
4,AMBOHIMIERA,AMBOHIMIERA,0.11137918764055701,2001-02
9,ANALAMPASINA,ANALAMPASINA,0.14421850122767865,2001-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.07666339138926205,2001-02
7,AMBIABE,ANDRORANGAVOLA,0.07848044585460995,2001-02
14,ANTARETRA,ANTARETRA,0.09914374971925859,2001-02
15,ANTSINDRA,ANTSINDRA,0.08712293983175269,2001-02
5,AMPASINAMBO,FASINTSARA,0.12544155146737546,2001-02
11,FASINTSARA,FASINTSARA,0.10516468704511393,2001-02
8,IFANADIANA,IFANADIANA,0.08669290193588669,2001-02
3,KELILALINA,KELILALINA,0.09024683225104503,2001-02
12,MAROHARATRA,MAROHARATRA,0.11558830914405646,2001-02
13,MAROTOKO,MAROTOKO,0.07725360813053511,2001-02
1,RANOMAFANA,RANOMAFANA,0.09006797270374188,2001-02
10,TSARATANANA,TSARATANANA,0.10992570278812722,2001-02
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.044364595928091825,2001-03
4,AMBOHIMIERA,AMBOHIMIERA,0.04837426389309239,2001-03
9,ANALAMPASINA,ANALAMPASINA,0.05112736165007388,2001-03
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.03752969584300512,2001-03
7,AMBIABE,ANDRORANGAVOLA,0.041768996365776856,2001-03
14,ANTARETRA,ANTARETRA,0.03946138327725755,2001-03
15,ANTSINDRA,ANTSINDRA,0.03271836192309515,2001-03
5,AMPASINAMBO,FASINTSARA,0.04199199304770026,2001-03
11,FASINTSARA,FASINTSARA,0.036923158557005856,2001-03
8,IFANADIANA,IFANADIANA,0.041175612511246566,2001-03
3,KELILALINA,KELILALINA,0.04362189835253236,2001-03
12,MAROHARATRA,MAROHARATRA,0.03654658209681681,2001-03
13,MAROTOKO,MAROTOKO,0.03680609667039254,2001-03
1,RANOMAFANA,RANOMAFANA,0.043982851905062514,2001-03
10,TSARATANANA,TSARATANANA,0.0425657500677276,2001-03
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.03753072800408231,2001-04
4,AMBOHIMIERA,AMBOHIMIERA,0.04256936774931644,2001-04
9,ANALAMPASINA,ANALAMPASINA,0.04142428202053178,2001-04
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.04199939628271386,2001-04
7,AMBIABE,ANDRORANGAVOLA,0.04744727554617492,2001-04
