"fid","comm_fkt","new_commun","old_commun","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
124,"AMBOHIMIERA_AMBOHIMILANJA","AMBOHIMIERA","AMBOHIMIERA",17.9057865142822,20.6735343933105,14.3684663772583,1637.46655273438,307.539886474609,45.8813438415527,76.0907669067383,833.322143554688,144.072052001953,833.216674804688,149.34245300293,9.56498622894287,60.0194091796875,263.139221191406,25.168436050415,9.23525714874268,15.933177947998,20.6720275878906,14.928201675415
125,"AMBOHIMIERA_AMBOHIMAHAVELONA","AMBOHIMIERA","AMBOHIMIERA",20.3971881866455,23.1199817657471,16.9693374633789,2036.70495605469,379.390197753906,56.613410949707,74.232048034668,1035.41833496094,178.627136230469,1006.13189697266,210.623489379883,10.208176612854,61.638355255127,256.367401123047,27.9430103302002,11.3816061019897,16.5614051818848,23.0014495849609,18.6510124206543
126,"AMPASINAMBO_MORARANO","AMPASINAMBO","FASINTSARA",18.1352100372314,20.9229927062988,14.687029838562,1865.21020507812,329.602142333984,53.0656814575195,71.9274139404297,911.399353027344,166.561065673828,908.291015625,183.846542358398,9.50387573242188,60.9511299133301,262.538513183594,25.4177227020264,9.82616424560547,15.5915575027466,20.9039096832275,15.5570182800293
127,"AMPASINAMBO_AMPASIMBOLA I","AMPASINAMBO","FASINTSARA",20.241491317749,22.9863338470459,16.8510494232178,2071.2802734375,372.103454589844,56.9200401306152,71.7159729003906,1020.22595214844,183.355133056641,991.368774414062,227.044906616211,9.97568798065186,61.9286804199219,257.298095703125,27.7480163574219,11.6396741867065,16.1083431243896,22.8844299316406,18.3830509185791
128,"AMPASINAMBO_SAKAVANANA","AMPASINAMBO","FASINTSARA",20.2560901641846,23.0140132904053,16.8549995422363,2061.77856445312,371.146331787109,56.6991653442383,72.03759765625,1017.73931884766,182.746490478516,990.855041503906,225.228637695312,10.1052837371826,62.0780792236328,258.000427246094,27.8392162322998,11.5608367919922,16.278377532959,22.90553855896,18.3987445831299
129,"AMPASINAMBO_AMBODIARA NORD","AMPASINAMBO","FASINTSARA",18.9562854766846,21.743350982666,15.5272665023804,1941.35717773438,344.0322265625,56.6393928527832,71.3055648803711,943.706298828125,174.939682006836,935.646728515625,201.744384765625,9.84141445159912,61.6880836486816,261.085296630859,26.413990020752,10.4608488082886,15.9531412124634,21.6788673400879,17.0271778106689
130,"AMBOHIMANGA DU SUD_MAROSATROKA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.6692390441895,23.3869514465332,17.3042221069336,2178.58520507812,395.957427978516,58.597972869873,71.2830429077148,1096.60961914062,198.33935546875,1044.62890625,248.956954956055,9.87583065032959,61.4499015808105,253.975067138672,28.0405979156494,11.9691781997681,16.0714206695557,23.2835865020752,18.8781242370605
131,"AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.6662216186523,23.4339962005615,17.2521438598633,2058.50146484375,382.474243164062,57.1110534667969,74.3538284301758,1043.03942871094,178.714569091797,1011.59460449219,212.477447509766,10.2485990524292,61.9682426452637,257.556762695312,28.2825889587402,11.7441215515137,16.5384674072266,23.3070964813232,18.8773365020752
132,"ANTARETRA_AMBINANIVATOMENA","ANTARETRA","ANTARETRA",23.0873069763184,25.7428016662598,19.9662532806396,2242.81640625,399.764343261719,72.016960144043,71.7353668212891,1185.11999511719,245.809997558594,1039.34362792969,275.296813964844,9.0303201675415,60.276180267334,241.116012573242,29.9928607940674,15.0112199783325,14.9816408157349,25.6988639831543,21.1014575958252
133,"ANTARETRA_AMBODIARA I","ANTARETRA","ANTARETRA",22.1952953338623,24.8918972015381,19.0207862854004,2349.03344726562,416.781585693359,65.7342758178711,70.4258499145508,1218.84338378906,236.988922119141,1095.71069335938,292.890319824219,9.05287742614746,59.9683837890625,244.786483764648,29.1796455383301,14.0834321975708,15.0962142944336,24.8392925262451,20.3427696228027
134,"ANTARETRA_MORAFENO","ANTARETRA","ANTARETRA",22.1024761199951,24.795825958252,18.9220504760742,2361.54907226562,420.475769042969,63.3304252624512,70.4515991210938,1227.06457519531,234.555465698242,1101.16687011719,295.720458984375,9.09397888183594,59.7891807556152,244.970169067383,29.1223621368408,13.9121475219727,15.2102136611938,24.7529411315918,20.2627696990967
135,"ANTARETRA_BETAMPONA","ANTARETRA","ANTARETRA",22.3838005065918,25.0659980773926,19.2245273590088,2328.80249023438,413.578430175781,65.9453811645508,70.5826187133789,1214.18664550781,237.485702514648,1081.21533203125,290.625762939453,9.04288005828857,59.8684120178223,243.655090332031,29.358829498291,14.2541799545288,15.1046495437622,25.0214958190918,20.5434093475342
136,"ANTARETRA_ANDRANOMAITSO","ANTARETRA","ANTARETRA",21.9502544403076,24.6385650634766,18.7752075195312,2366.27172851562,418.431488037109,64.263557434082,69.8920059204102,1222.96020507812,234.796798706055,1101.26977539062,300.208892822266,9.04358768463135,59.6813888549805,244.755264282227,28.9492988586426,13.7960634231567,15.1532335281372,24.6046981811523,20.1003532409668
137,"ANTARETRA_ANTARETRA","ANTARETRA","ANTARETRA",22.2037906646729,24.882303237915,19.0626926422119,2343.3798828125,411.501403808594,68.4896545410156,69.5126876831055,1212.80883789062,244.111297607422,1085.23889160156,300.223663330078,8.93556022644043,59.4753684997559,242.942428588867,29.1179695129395,14.0939321517944,15.0240383148193,24.8607158660889,20.3548488616943
138,"IFANADIANA_IFANADIANA","IFANADIANA","IFANADIANA",21.2968082427979,23.9891185760498,18.0264167785645,2403.67651367188,436.006225585938,58.4543037414551,71.7797927856445,1244.11596679688,218.285079956055,1157.04760742188,291.684295654297,9.46967506408691,60.5417060852051,248.578475952148,28.4326210021973,12.7909727096558,15.6416463851929,23.9302291870117,19.5180492401123
139,"IFANADIANA_ANDRANOFOLAHINA","IFANADIANA","IFANADIANA",20.8942413330078,23.5970401763916,17.5780239105225,2251.3408203125,413.985687255859,56.5571556091309,72.9616394042969,1162.8115234375,199.199356079102,1105.23168945312,260.247650146484,9.64962673187256,60.9316177368164,250.409790039062,28.1016616821289,12.2647895812988,15.8368721008301,23.5191192626953,19.1275367736816
140,"IFANADIANA_AMBORAKA","IFANADIANA","IFANADIANA",21.0767765045166,23.7683563232422,17.7819538116455,2321.45776367188,424.16455078125,57.113826751709,72.4006271362305,1201.513671875,208.190887451172,1128.65734863281,275.579010009766,9.54661560058594,60.6082305908203,249.408798217773,28.2511882781982,12.4998111724854,15.7513780593872,23.7014465332031,19.3082656860352
141,"IFANADIANA_AMBODIRAFIA II","IFANADIANA","IFANADIANA",21.0026245117188,23.7190628051758,17.752965927124,2369.62353515625,421.544708251953,59.9254913330078,69.4714584350586,1203.90441894531,221.106262207031,1121.51647949219,296.418640136719,9.16052722930908,59.6410636901855,248.753326416016,28.0790576934814,12.7200202941895,15.3590393066406,23.6670341491699,19.1561794281006
142,"IFANADIANA_FENOARIVO I","IFANADIANA","IFANADIANA",21.3375053405762,24.0320816040039,18.0926780700684,2341.87548828125,417.839416503906,61.4090385437012,70.2686614990234,1200.50524902344,221.434143066406,1110.97106933594,288.890930175781,9.21487045288086,59.7535285949707,247.450424194336,28.4031105041504,12.9816722869873,15.4214382171631,23.9788780212402,19.5435314178467
143,"AMBOHIMIERA_AMBOHIMIERA","AMBOHIMIERA","AMBOHIMIERA",18.8547172546387,21.5937175750732,15.3839845657349,1839.029296875,341.574401855469,53.3784523010254,73.8752212524414,923.69580078125,166.575225830078,916.260986328125,182.372009277344,9.47249698638916,59.9266738891602,259.142150878906,26.015157699585,10.2093591690063,15.8057975769043,21.5514163970947,16.669584274292
144,"AMBOHIMIERA_MAROMANANA","AMBOHIMIERA","AMBOHIMIERA",20.164737701416,22.885498046875,16.6973075866699,1925.13208007812,367.531951904297,51.9620552062988,77.3789443969727,991.364807128906,160.63996887207,973.395812988281,180.906051635742,10.1797800064087,61.5335273742676,258.232452392578,27.6933917999268,11.1498556137085,16.5435352325439,22.7795696258545,18.3721580505371
145,"MAROHARATRA_TANAMBAO OUEST","MAROHARATRA","MAROHARATRA",20.7786769866943,23.5163803100586,17.4264507293701,2160.80200195312,382.789611816406,57.2529716491699,70.0640716552734,1065.57934570312,197.254364013672,1015.86676025391,259.31591796875,9.95097255706787,61.7343673706055,255.079818725586,28.2765636444092,12.1574726104736,16.1190910339355,23.4177722930908,18.9386005401611
146,"RANOMAFANA_MENARANO","RANOMAFANA","RANOMAFANA",20.1021938323975,22.8156185150146,16.6952037811279,2000.21411132812,377.111267089844,55.0678405761719,74.8421173095703,1027.77795410156,174.206344604492,1007.30450439453,209.393798828125,9.3629035949707,59.603702545166,254.569244384766,27.1870517730713,11.4787435531616,15.7083082199097,22.7300262451172,18.3631553649902
147,"RANOMAFANA_AMBODIAVIAVY","RANOMAFANA","RANOMAFANA",20.4866714477539,23.1995811462402,17.0969676971436,2094.54248046875,393.552612304688,55.1242790222168,74.3199005126953,1080.13732910156,181.448303222656,1045.29528808594,227.030960083008,9.62302398681641,60.3087310791016,253.728469848633,27.7262077331543,11.770055770874,15.9561500549316,23.1062793731689,18.7584781646729
148,"RANOMAFANA_AMPASIMPOTSY","RANOMAFANA","RANOMAFANA",20.2817516326904,22.9888744354248,16.8999042510986,2046.85412597656,382.571655273438,54.7693023681641,74.0652236938477,1052.00305175781,179.502395629883,1022.76007080078,222.175308227539,9.50238990783691,60.0827331542969,253.211868286133,27.4619960784912,11.6471395492554,15.8148574829102,22.9020175933838,18.536262512207
149,"RANOMAFANA_SAHANDRAZANA","RANOMAFANA","RANOMAFANA",20.6764316558838,23.3918647766113,17.3022365570068,2077.15161132812,388.531402587891,56.4441184997559,73.9500961303711,1072.80432128906,184.063278198242,1034.97485351562,227.033340454102,9.48971843719482,59.8966293334961,253.196334838867,27.8411350250244,11.9976348876953,15.8435010910034,23.3045272827148,18.9393634796143
150,"MAROHARATRA_SAHOMBY","MAROHARATRA","MAROHARATRA",20.889835357666,23.6097545623779,17.5682792663574,2203.03149414062,389.033935546875,59.9998435974121,69.1489410400391,1088.689453125,206.541839599609,1030.18957519531,266.495513916016,9.73272514343262,61.4878578186035,252.651672363281,28.2048473358154,12.3762187957764,15.8286275863647,23.527042388916,19.059944152832
151,"MAROHARATRA_AMBODIMANGA","MAROHARATRA","MAROHARATRA",21.8247337341309,24.5033988952637,18.5691165924072,2325.96313476562,400.242645263672,64.50048828125,66.2198791503906,1133.63659667969,232.661071777344,1049.03381347656,308.296112060547,9.71589851379395,61.738941192627,248.175506591797,29.1140441894531,13.376974105835,15.7370691299438,24.4235153198242,20.0044097900391
152,"MAROHARATRA_AMPASIMADINIKA","MAROHARATRA","MAROHARATRA",21.6935997009277,24.3767013549805,18.4226493835449,2267.1298828125,397.158050537109,63.0699424743652,68.1981353759766,1120.6201171875,218.55924987793,1043.55395507812,287.716888427734,9.69289970397949,61.7033042907715,248.99690246582,28.9745502471924,13.2655754089355,15.7089767456055,24.2956428527832,19.8778266906738
153,"ANALAMPASINA_AMBARO","ANALAMPASINA","ANALAMPASINA",19.584810256958,22.3306713104248,16.0932731628418,1868.12866210938,352.527008056641,50.451229095459,76.7373123168945,952.277648925781,156.448181152344,941.933166503906,170.67170715332,10.1461153030396,61.4224739074707,260.455017089844,27.1297798156738,10.6116857528687,16.5180931091309,22.2575531005859,17.3195838928223
154,"ANALAMPASINA_ANDRORANGAVOLA SUD","ANALAMPASINA","ANALAMPASINA",20.2110347747803,22.9527645111084,16.7636203765869,1955.44030761719,367.273834228516,54.3495674133301,76.080436706543,997.301025390625,166.793716430664,976.830688476562,188.621994018555,10.1662549972534,61.4966125488281,258.197784423828,27.7587471008301,11.2273330688477,16.5314140319824,22.8393688201904,18.4169406890869
155,"ANALAMPASINA_ANALAMPASINA","ANALAMPASINA","ANALAMPASINA",20.6244297027588,23.3805770874023,17.1977348327637,2015.2998046875,378.341064453125,55.773006439209,75.7564392089844,1029.47155761719,172.457626342773,1001.86999511719,200.109802246094,10.3106851577759,61.9446563720703,257.566253662109,28.2674236297607,11.6224718093872,16.6449508666992,23.25168800354,18.8620624542236
156,"AMBOHIMANGA DU SUD_AMBODIARA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.5922050476074,23.3203811645508,17.1940612792969,2089.2880859375,385.968566894531,56.8299903869629,73.3364639282227,1058.59655761719,185.301712036133,1020.39349365234,223.98551940918,10.1691741943359,61.7247886657715,255.390869140625,28.11572265625,11.6405639648438,16.4751586914062,23.2032032012939,18.8317794799805
157,"MAROTOKO_MAROTOKO","MAROTOKO","MAROTOKO",22.1881008148193,24.8530941009521,19.0786743164062,2310.91137695312,395.178283691406,69.2595672607422,66.4182510375977,1169.31433105469,246.291778564453,1060.36865234375,309.073638916016,8.95840930938721,59.3020629882812,240.960678100586,29.1286087036133,14.0222320556641,15.1063776016235,24.8346633911133,20.3748550415039
158,"MAROTOKO_AMBALAVIA","MAROTOKO","MAROTOKO",21.8770198822021,24.554162979126,18.6665172576904,2242.50463867188,401.5126953125,63.8339195251465,70.7153396606445,1161.71154785156,222.908508300781,1057.94409179688,272.704376220703,9.26588821411133,59.8712310791016,244.99885559082,28.9278030395508,13.4514007568359,15.4764013290405,24.5031566619873,20.1108665466309
